Data Set,Target,Biological_Group_Sample,Control,Relative Quantity,Relative Quantity(lg),Relative Quantity SD,Corrected Relative Quantity SD,SD RQ(lg),Relative Quantity SEM,Corrected Relative Quantity SEM,SEM RQ(lg),Relative Quantity 95% CI Low,Relative Quantity 95% CI High,Unscaled Expression,Unscaled Expression(lg),Unscaled Expression SD,Corrected Unscaled Expression SD,SD Unscaled Expression(lg),Unscaled Expression SEM,Corrected Unscaled Expression SEM,SEM Unscaled Expression(lg),Expression,Expression(lg),Expression SD,Corrected Expression SD,SD Expression(lg),Expression SEM,Corrected Expression SEM,SEM Expression(lg),Expression 95% CI Low,Expression 95% CI High,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
8-SYBR,GST1,BA84_14dpe_2661,,0.55997,-0.83657,0.07318,0.07318,,0.04225,0.04225,,,,,,,,,,,,,,,,,,,,,,3,19.20,0.19643,0.11341,
8-SYBR,GST1,BA84_14dpe_2662,,0.46993,-1.08948,0.02663,0.02663,,0.01883,0.01883,,,,,,,,,,,,,,,,,,,,,,2,19.47,0.08517,0.06023,
3-SYBR,GST1,BA84_25dpe_222,,0.53062,-0.91426,0.27977,0.27977,,0.16152,0.16152,,,,,,,,,,,,,,,,,,,,,,3,19.28,0.79255,0.45758,
3-SYBR,GST1,BA84_25dpe_223,,0.45325,-1.14162,0.19293,0.19293,,0.11139,0.11139,,,,,,,,,,,,,,,,,,,,,,3,19.52,0.63983,0.36941,
3-SYBR,GST1,BA84_25dpe_224,,0.51772,-0.94976,0.07774,0.07774,,0.04489,0.04489,,,,,,,,,,,,,,,,,,,,,,3,19.32,0.22572,0.13032,
3-SYBR,GST1,BA84_25dpe_229,,0.54887,-0.86545,0.24638,0.24638,,0.14225,0.14225,,,,,,,,,,,,,,,,,,,,,,3,19.23,0.67474,0.38956,
3-SYBR,GST1,BA84_25dpe_232,,0.60884,-0.71587,0.20702,0.20702,,0.11952,0.11952,,,,,,,,,,,,,,,,,,,,,,3,19.08,0.51111,0.29509,
3-SYBR,GST1,BA84_25dpe_233,,0.47414,-1.07661,0.24631,0.24631,,0.14221,0.14221,,,,,,,,,,,,,,,,,,,,,,3,19.45,0.78088,0.45084,
8-SYBR,GST1,BA84_25dpe_2642,,0.36206,-1.46570,0.05025,0.05025,,0.03553,0.03553,,,,,,,,,,,,,,,,,,,,,,2,19.86,0.20861,0.14751,
8-SYBR,GST1,BA84_25dpe_2663,,0.57736,-0.79245,0.00910,0.00910,,0.00644,0.00644,,,,,,,,,,,,,,,,,,,,,,2,19.16,0.02370,0.01676,
8-SYBR,GST1,BA84_25dpe_2664,,0.55471,-0.85020,0.10330,0.10330,,0.05964,0.05964,,,,,,,,,,,,,,,,,,,,,,3,19.22,0.27991,0.16161,
8-SYBR,GST1,BA84_25dpe_2665,,0.84951,-0.23530,0.20515,0.20515,,0.11845,0.11845,,,,,,,,,,,,,,,,,,,,,,3,18.58,0.36301,0.20958,
8-SYBR,GST1,BA84_25dpe_2666,,0.58596,-0.77113,0.05791,0.05791,,0.04095,0.04095,,,,,,,,,,,,,,,,,,,,,,2,19.13,0.14855,0.10504,
11-SYBR,GST1,BA84_25dpe_2667,,1.08401,0.11638,0.13429,0.13429,,0.07753,0.07753,,,,,,,,,,,,,,,,,,,,,,3,18.21,0.18621,0.10751,
11-SYBR,GST1,BA84_25dpe_2668,,1.02492,0.03551,0.11843,0.11843,,0.06838,0.06838,,,,,,,,,,,,,,,,,,,,,,3,18.29,0.17370,0.10028,
4-SYBR,GST1,BA84_25dpe_87,,0.31134,-1.68346,0.17810,0.17810,,0.10283,0.10283,,,,,,,,,,,,,,,,,,,,,,3,20.09,0.85989,0.49646,
4-SYBR,GST1,BA84_25dpe_88,,0.33642,-1.57168,0.14414,0.14414,,0.08322,0.08322,,,,,,,,,,,,,,,,,,,,,,3,19.97,0.64404,0.37184,
4-SYBR,GST1,BA84_25dpe_92,,0.57034,-0.81012,0.14243,0.14243,,0.08223,0.08223,,,,,,,,,,,,,,,,,,,,,,3,19.18,0.37540,0.21674,
4-SYBR,GST1,BA84_35dpe_100,,0.34665,-1.52845,0.15473,0.15473,,0.08934,0.08934,,,,,,,,,,,,,,,,,,,,,,3,19.92,0.67097,0.38739,
3-SYBR,GST1,BA84_35dpe_235,,0.48631,-1.04004,0.17879,0.17879,,0.10323,0.10323,,,,,,,,,,,,,,,,,,,,,,3,19.41,0.55263,0.31906,
3-SYBR,GST1,BA84_35dpe_236,,0.75953,-0.39682,0.26543,0.26543,,0.15324,0.15324,,,,,,,,,,,,,,,,,,,,,,3,18.74,0.52530,0.30328,
3-SYBR,GST1,BA84_35dpe_237,,0.35312,-1.50177,0.18111,0.18111,,0.10456,0.10456,,,,,,,,,,,,,,,,,,,,,,3,19.90,0.77096,0.44511,
3-SYBR,GST1,BA84_35dpe_240,,0.40928,-1.28886,0.18570,0.18570,,0.10721,0.10721,,,,,,,,,,,,,,,,,,,,,,3,19.67,0.68201,0.39376,
3-SYBR,GST1,BA84_35dpe_241,,0.40784,-1.29393,0.23763,0.23763,,0.13720,0.13720,,,,,,,,,,,,,,,,,,,,,,3,19.68,0.87584,0.50567,
8-SYBR,GST1,BA84_35dpe_2648,,0.56831,-0.81525,0.06759,0.06759,,0.03902,0.03902,,,,,,,,,,,,,,,,,,,,,,3,19.18,0.17876,0.10321,
8-SYBR,GST1,BA84_35dpe_2649,,0.38682,-1.37028,0.09657,0.09657,,0.05575,0.05575,,,,,,,,,,,,,,,,,,,,,,3,19.76,0.37527,0.21666,
8-SYBR,GST1,BA84_35dpe_2650,,0.39254,-1.34907,0.00413,0.00413,,0.00292,0.00292,,,,,,,,,,,,,,,,,,,,,,2,19.74,0.01581,0.01118,
8-SYBR,GST1,BA84_35dpe_2651,,0.36448,-1.45610,0.00595,0.00595,,0.00421,0.00421,,,,,,,,,,,,,,,,,,,,,,2,19.85,0.02456,0.01736,
8-SYBR,GST1,BA84_35dpe_2652,,0.72454,-0.46487,0.13803,0.13803,,0.07969,0.07969,,,,,,,,,,,,,,,,,,,,,,3,18.82,0.28636,0.16533,
8-SYBR,GST1,BA84_35dpe_2653,,0.36450,-1.45601,0.00686,0.00686,,0.00485,0.00485,,,,,,,,,,,,,,,,,,,,,,2,19.85,0.02829,0.02000,
8-SYBR,GST1,BA84_35dpe_2654,,0.60866,-0.71630,0.00765,0.00765,,0.00541,0.00541,,,,,,,,,,,,,,,,,,,,,,2,19.08,0.01888,0.01335,
8-SYBR,GST1,BA84_35dpe_2655,,0.42767,-1.22542,0.01436,0.01436,,0.01015,0.01015,,,,,,,,,,,,,,,,,,,,,,2,19.61,0.05047,0.03569,
8-SYBR,GST1,BA84_35dpe_2656,,0.64868,-0.62443,0.06766,0.06766,,0.03906,0.03906,,,,,,,,,,,,,,,,,,,,,,3,18.98,0.15679,0.09052,
8-SYBR,GST1,BA84_35dpe_2657,,0.96220,-0.05559,0.17077,0.17077,,0.09859,0.09859,,,,,,,,,,,,,,,,,,,,,,3,18.39,0.26678,0.15402,
4-SYBR,GST1,BA84_35dpe_98,,0.43482,-1.20150,0.24699,0.24699,,0.14260,0.14260,,,,,,,,,,,,,,,,,,,,,,3,19.58,0.85383,0.49296,
4-SYBR,GST1,BA84_35dpe_99,,0.46835,-1.09434,0.26829,0.26829,,0.15490,0.15490,,,,,,,,,,,,,,,,,,,,,,3,19.47,0.86106,0.49714,
4-SYBR,GST1,BA84_male_103,,0.08962,-3.47999,0.04696,0.04696,,0.02711,0.02711,,,,,,,,,,,,,,,,,,,,,,3,21.96,0.78764,0.45475,
4-SYBR,GST1,BA84_male_1918,,0.38817,-1.36524,0.11762,0.11762,,0.06791,0.06791,,,,,,,,,,,,,,,,,,,,,,3,19.75,0.45549,0.26298,
4-SYBR,GST1,BA84_male_1919,,0.35527,-1.49303,0.14474,0.14474,,0.08357,0.08357,,,,,,,,,,,,,,,,,,,,,,3,19.89,0.61241,0.35358,
4-SYBR,GST1,BA84_male_1920,,0.22972,-2.12206,0.11261,0.11261,,0.06501,0.06501,,,,,,,,,,,,,,,,,,,,,,3,20.54,0.73686,0.42543,
3-SYBR,GST1,BA84_male_221,,0.26279,-1.92800,0.06386,0.06386,,0.03687,0.03687,,,,,,,,,,,,,,,,,,,,,,3,20.34,0.36530,0.21091,
3-SYBR,GST1,BA84_male_242,,0.46887,-1.09274,0.37415,0.37415,,0.21601,0.21601,,,,,,,,,,,,,,,,,,,,,,3,19.47,1.19949,0.69253,
11-SYBR,GST1,BA84_male_2691,,1.01074,0.01541,0.12217,0.12217,,0.07053,0.07053,,,,,,,,,,,,,,,,,,,,,,3,18.32,0.18168,0.10490,
4-SYBR,GST1,BA84_male_89,,0.64237,-0.63853,0.07625,0.07625,,0.04402,0.04402,,,,,,,,,,,,,,,,,,,,,,3,19.00,0.17843,0.10302,
4-SYBR,GST1,BRA20_14dpe_104,,0.50486,-0.98603,0.28765,0.28765,,0.16608,0.16608,,,,,,,,,,,,,,,,,,,,,,3,19.36,0.85644,0.49447,
4-SYBR,GST1,BRA20_14dpe_105,,0.60151,-0.73334,0.20440,0.20440,,0.11801,0.11801,,,,,,,,,,,,,,,,,,,,,,3,19.10,0.51079,0.29491,
3-SYBR,GST1,BRA20_14dpe_110,,0.74837,-0.41818,0.12129,0.12129,,0.07003,0.07003,,,,,,,,,,,,,,,,,,,,,,3,18.77,0.24362,0.14066,
3-SYBR,GST1,BRA20_14dpe_228,,0.43511,-1.20055,0.14357,0.14357,,0.08289,0.08289,,,,,,,,,,,,,,,,,,,,,,3,19.58,0.49598,0.28636,
11-SYBR,GST1,BRA20_14dpe_2669,,0.78550,-0.34831,0.11931,0.11931,,0.06889,0.06889,,,,,,,,,,,,,,,,,,,,,,3,18.69,0.22832,0.13182,
11-SYBR,GST1,BRA20_14dpe_2670,,0.86793,-0.20435,0.16945,0.16945,,0.09783,0.09783,,,,,,,,,,,,,,,,,,,,,,3,18.54,0.29348,0.16944,
11-SYBR,GST1,BRA20_14dpe_2679,,1.55528,0.63717,0.26515,0.26515,,0.15309,0.15309,,,,,,,,,,,,,,,,,,,,,,3,17.67,0.25627,0.14796,
11-SYBR,GST1,BRA20_14dpe_2682,,0.85532,-0.22547,0.01783,0.01783,,0.01261,0.01261,,,,,,,,,,,,,,,,,,,,,,2,18.57,0.03133,0.02216,
11-SYBR,GST1,BRA20_14dpe_2683,,1.05991,0.08394,0.16385,0.16385,,0.09460,0.09460,,,,,,,,,,,,,,,,,,,,,,3,18.24,0.23237,0.13416,
11-SYBR,GST1,BRA20_14dpe_2684,,0.91164,-0.13347,0.09344,0.09344,,0.06607,0.06607,,,,,,,,,,,,,,,,,,,,,,2,18.47,0.15407,0.10894,
4-SYBR,GST1,BRA20_14dpe_94,,0.43799,-1.19104,0.24198,0.24198,,0.13971,0.13971,,,,,,,,,,,,,,,,,,,,,,3,19.57,0.83048,0.47948,
4-SYBR,GST1,BRA20_18dpe_1916,,0.54864,-0.86606,0.21658,0.21658,,0.12504,0.12504,,,,,,,,,,,,,,,,,,,,,,3,19.23,0.59340,0.34260,
11-SYBR,GST1,BRA20_18dpe_2685,,1.82268,0.86606,0.11358,0.11358,,0.06557,0.06557,,,,,,,,,,,,,,,,,,,,,,3,17.43,0.09367,0.05408,
3-SYBR,GST1,BRA20_25dpe_225,,0.59506,-0.74889,0.15597,0.15597,,0.09005,0.09005,,,,,,,,,,,,,,,,,,,,,,3,19.11,0.39399,0.22747,
3-SYBR,GST1,BRA20_25dpe_226,,0.32104,-1.63920,0.15760,0.15760,,0.09099,0.09099,,,,,,,,,,,,,,,,,,,,,,3,20.04,0.73790,0.42603,
3-SYBR,GST1,BRA20_25dpe_234,,0.54961,-0.86351,0.34746,0.34746,,0.20061,0.20061,,,,,,,,,,,,,,,,,,,,,,3,19.23,0.95029,0.54865,
3-SYBR,GST1,BRA20_25dpe_246,,0.86414,-0.21067,0.13170,0.13170,,0.09312,0.09312,,,,,,,,,,,,,,,,,,,,,,2,18.55,0.22908,0.16199,
11-SYBR,GST1,BRA20_25dpe_2671,,0.63947,-0.64506,0.07622,0.07622,,0.05389,0.05389,,,,,,,,,,,,,,,,,,,,,,2,19.00,0.17916,0.12669,
11-SYBR,GST1,BRA20_25dpe_2672,,0.87808,-0.18757,0.14405,0.14405,,0.08317,0.08317,,,,,,,,,,,,,,,,,,,,,,3,18.53,0.24659,0.14237,
11-SYBR,GST1,BRA20_25dpe_2673,,0.61599,-0.69903,0.00603,0.00603,,0.00426,0.00426,,,,,,,,,,,,,,,,,,,,,,2,19.06,0.01472,0.01041,
11-SYBR,GST1,BRA20_25dpe_2674,,0.95747,-0.06270,0.17165,0.17165,,0.09910,0.09910,,,,,,,,,,,,,,,,,,,,,,3,18.40,0.26948,0.15559,
11-SYBR,GST1,BRA20_25dpe_2675,,0.69925,-0.51611,0.07838,0.07838,,0.04525,0.04525,,,,,,,,,,,,,,,,,,,,,,3,18.87,0.16849,0.09728,
11-SYBR,GST1,BRA20_25dpe_2676,,0.67387,-0.56945,0.12330,0.12330,,0.07119,0.07119,,,,,,,,,,,,,,,,,,,,,,3,18.92,0.27505,0.15880,
4-SYBR,GST1,BRA20_25dpe_90,,0.42785,-1.22481,0.13934,0.13934,,0.08045,0.08045,,,,,,,,,,,,,,,,,,,,,,3,19.61,0.48954,0.28264,
3-SYBR,GST1,BRA20_35dpe_238,,0.22314,-2.16399,0.18101,0.18101,,0.10451,0.10451,,,,,,,,,,,,,,,,,,,,,,3,20.59,1.21937,0.70400,
3-SYBR,GST1,BRA20_35dpe_239,,0.54417,-0.87788,0.29067,0.29067,,0.16782,0.16782,,,,,,,,,,,,,,,,,,,,,,3,19.25,0.80293,0.46357,
3-SYBR,GST1,BRA20_35dpe_243,,0.40671,-1.29793,0.24030,0.24030,,0.13874,0.13874,,,,,,,,,,,,,,,,,,,,,,3,19.68,0.88813,0.51276,
3-SYBR,GST1,BRA20_35dpe_244,,0.59269,-0.75465,0.21865,0.21865,,0.12624,0.12624,,,,,,,,,,,,,,,,,,,,,,3,19.12,0.55453,0.32016,
11-SYBR,GST1,BRA20_35dpe_2681,,1.14617,0.19682,0.00092,0.00092,,0.00065,0.00065,,,,,,,,,,,,,,,,,,,,,,2,18.13,0.00121,0.00086,
11-SYBR,GST1,BRA20_35dpe_2686,,0.82919,-0.27022,0.07540,0.07540,,0.04353,0.04353,,,,,,,,,,,,,,,,,,,,,,3,18.61,0.13669,0.07892,
11-SYBR,GST1,BRA20_35dpe_2688,,1.98250,0.98732,0.28201,0.28201,,0.16282,0.16282,,,,,,,,,,,,,,,,,,,,,,3,17.30,0.21382,0.12345,
4-SYBR,GST1,BRA20_35dpe_97,,0.57377,-0.80145,0.14871,0.14871,,0.08586,0.08586,,,,,,,,,,,,,,,,,,,,,,3,19.17,0.38959,0.22493,
3-SYBR,GST1,BRA20_male_227,,0.22919,-2.12540,0.09000,0.09000,,0.05196,0.05196,,,,,,,,,,,,,,,,,,,,,,3,20.55,0.59031,0.34082,
3-SYBR,GST1,BRA20_male_245,,0.30808,-1.69863,0.26138,0.26138,,0.15091,0.15091,,,,,,,,,,,,,,,,,,,,,,3,20.10,1.27531,0.73630,
4-SYBR,GST1,BRA20_male_93,,0.51481,-0.95790,0.11810,0.11810,,0.06819,0.06819,,,,,,,,,,,,,,,,,,,,,,3,19.33,0.34484,0.19910,
4-SYBR,GST1,MO190_14dpe_1923,,0.39735,-1.33150,0.10765,0.10765,,0.06215,0.06215,,,,,,,,,,,,,,,,,,,,,,3,19.72,0.40723,0.23512,
11-SYBR,GST1,MO190_14dpe_2687,,0.75261,-0.41003,0.16334,0.16334,,0.09430,0.09430,,,,,,,,,,,,,,,,,,,,,,3,18.76,0.32624,0.18835,
4-SYBR,GST1,MO190_14dpe_95,,0.34452,-1.53732,0.23598,0.23598,,0.13624,0.13624,,,,,,,,,,,,,,,,,,,,,,3,19.93,1.02959,0.59443,
11-SYBR,GST1,MO190_25dpe_2677,,0.83910,-0.25309,0.05829,0.05829,,0.03365,0.03365,,,,,,,,,,,,,,,,,,,,,,3,18.59,0.10441,0.06028,
11-SYBR,GST1,MO190_25dpe_2690,,0.95445,-0.06725,0.12562,0.12562,,0.07252,0.07252,,,,,,,,,,,,,,,,,,,,,,3,18.40,0.19783,0.11422,
4-SYBR,GST1,MO190_25dpe_91,,0.35367,-1.49954,0.17659,0.17659,,0.10195,0.10195,,,,,,,,,,,,,,,,,,,,,,3,19.89,0.75054,0.43333,
11-SYBR,GST1,MO190_35dpe_2678,,0.77977,-0.35887,0.14568,0.14568,,0.08411,0.08411,,,,,,,,,,,,,,,,,,,,,,3,18.70,0.28083,0.16214,
4-SYBR,GST1,MO190_male_96,,0.49289,-1.02066,0.23114,0.23114,,0.13345,0.13345,,,,,,,,,,,,,,,,,,,,,,3,19.39,0.70491,0.40698,
6-SYBR,vitellogenin,BA84_14dpe_101,,1.07861,0.10917,0.70752,0.70752,,0.40849,0.40849,,,,4.27369,2.09548,2.98708,2.98708,,1.72459,1.72459,,4.27369,2.09548,2.98708,2.98708,,1.72459,1.72459,,,,3,13.60,0.97328,0.56192,
6-SYBR,vitellogenin,BA84_14dpe_102,,0.86798,-0.20427,1.15959,1.15959,,0.66949,0.66949,,,,2.76549,1.46753,3.78772,3.78772,,2.18684,2.18684,,2.76549,1.46753,3.78772,3.78772,,2.18684,2.18684,,,,3,13.92,1.98226,1.14446,
6-SYBR,vitellogenin,BA84_14dpe_106,,0.45111,-1.14844,0.59278,0.59278,,0.34224,0.34224,,,,1.07396,0.10293,1.44129,1.44129,,0.83213,0.83213,,1.07396,0.10293,1.44129,1.44129,,0.83213,0.83213,,,,3,14.89,1.94972,1.12567,
6-SYBR,vitellogenin,BA84_14dpe_107,,0.51940,-0.94507,0.24282,0.24282,,0.14019,0.14019,,,,1.35656,0.43996,0.83203,0.83203,,0.48037,0.48037,,1.35656,0.43996,0.83203,0.83203,,0.48037,0.48037,,,,3,14.68,0.69367,0.40049,
5-SYBR,vitellogenin,BA84_14dpe_108,,1.37666,0.46118,0.28735,0.28735,,0.16590,0.16590,,,,3.07301,1.61965,1.28158,1.28158,,0.73992,0.73992,,3.07301,1.61965,1.28158,1.28158,,0.73992,0.73992,,,,3,13.24,0.30970,0.17881,
5-SYBR,vitellogenin,BA84_14dpe_109,,1.55128,0.63346,0.07294,0.07294,,0.04211,0.04211,,,,2.80992,1.49053,0.58115,0.58115,,0.33553,0.33553,,2.80992,1.49053,0.58115,0.58115,,0.33553,0.33553,,,,3,13.06,0.06976,0.04028,
6-SYBR,vitellogenin,BA84_14dpe_1917,,0.77490,-0.36791,0.32570,0.32570,,0.18804,0.18804,,,,1.34435,0.42691,0.66253,0.66253,,0.38251,0.38251,,1.34435,0.42691,0.66253,0.66253,,0.38251,0.38251,,,,3,14.09,0.62363,0.36005,
6-SYBR,vitellogenin,BA84_14dpe_1921,,0.68793,-0.53967,0.12639,0.12639,,0.07297,0.07297,,,,1.14775,0.19881,0.37064,0.37064,,0.21399,0.21399,,1.14775,0.19881,0.37064,0.37064,,0.21399,0.21399,,,,3,14.27,0.27259,0.15738,
5-SYBR,vitellogenin,BA84_14dpe_230,,0.86381,-0.21121,0.33976,0.33976,,0.19616,0.19616,,,,1.78191,0.83343,0.92741,0.92741,,0.53544,0.53544,,1.78191,0.83343,0.92741,0.92741,,0.53544,0.53544,,,,3,13.93,0.58359,0.33694,
5-SYBR,vitellogenin,BA84_14dpe_231,,0.64228,-0.63872,0.05051,0.05051,,0.02916,0.02916,,,,1.80012,0.84809,0.49992,0.49992,,0.28863,0.28863,,1.80012,0.84809,0.49992,0.49992,,0.28863,0.28863,,,,3,14.37,0.11668,0.06736,
9-SYBR,vitellogenin,BA84_14dpe_2643,,0.65287,-0.61513,0.05861,0.05861,,0.03384,0.03384,,,,0.74241,-0.42972,0.13615,0.13615,,0.07861,0.07861,,0.74241,-0.42972,0.13615,0.13615,,0.07861,0.07861,,,,3,14.34,0.13320,0.07690,
9-SYBR,vitellogenin,BA84_14dpe_2644,,0.35654,-1.48785,0.02794,0.02794,,0.01613,0.01613,,,,1.03083,0.04381,0.10379,0.10379,,0.05993,0.05993,,1.03083,0.04381,0.10379,0.10379,,0.05993,0.05993,,,,3,15.24,0.11627,0.06713,
9-SYBR,vitellogenin,BA84_14dpe_2645,,0.55245,-0.85609,0.14229,0.14229,,0.08215,0.08215,,,,1.09087,0.12548,0.32229,0.32229,,0.18607,0.18607,,1.09087,0.12548,0.32229,0.32229,,0.18607,0.18607,,,,3,14.59,0.38217,0.22065,
9-SYBR,vitellogenin,BA84_14dpe_2646,,0.48780,-1.03563,0.02915,0.02915,,0.02061,0.02061,,,,0.72203,-0.46987,0.05420,0.05420,,0.03833,0.03833,,0.72203,-0.46987,0.05420,0.05420,,0.03833,0.03833,,,,2,14.78,0.08866,0.06269,
9-SYBR,vitellogenin,BA84_14dpe_2647,,0.44958,-1.15335,0.06794,0.06794,,0.03923,0.03923,,,,0.56155,-0.83252,0.09424,0.09424,,0.05441,0.05441,,0.56155,-0.83252,0.09424,0.09424,,0.05441,0.05441,,,,3,14.90,0.22423,0.12946,
9-SYBR,vitellogenin,BA84_14dpe_2658,,1.46251,0.54845,0.25774,0.25774,,0.18225,0.18225,,,,1.98039,0.98578,0.40050,0.40050,,0.28320,0.28320,,1.98039,0.98578,0.40050,0.40050,,0.28320,0.28320,,,,2,13.15,0.26148,0.18490,
9-SYBR,vitellogenin,BA84_14dpe_2659,,0.67186,-0.57377,0.03050,0.03050,,0.02157,0.02157,,,,1.08834,0.12213,0.06093,0.06093,,0.04309,0.04309,,1.08834,0.12213,0.06093,0.06093,,0.04309,0.04309,,,,2,14.30,0.06737,0.04764,
9-SYBR,vitellogenin,BA84_14dpe_2660,,0.60940,-0.71454,0.03582,0.03582,,0.02533,0.02533,,,,0.75440,-0.40660,0.06998,0.06998,,0.04948,0.04948,,0.75440,-0.40660,0.06998,0.06998,,0.04948,0.04948,,,,2,14.44,0.08722,0.06167,
9-SYBR,vitellogenin,BA84_14dpe_2661,,0.31772,-1.65419,0.04231,0.04231,,0.02992,0.02992,,,,0.41201,-1.27924,0.06119,0.06119,,0.04327,0.04327,,0.41201,-1.27924,0.06119,0.06119,,0.04327,0.04327,,,,2,15.41,0.19760,0.13973,
9-SYBR,vitellogenin,BA84_14dpe_2662,,0.39671,-1.33384,0.01211,0.01211,,0.00856,0.00856,,,,0.49052,-1.02762,0.02824,0.02824,,0.01997,0.01997,,0.49052,-1.02762,0.02824,0.02824,,0.01997,0.01997,,,,2,15.08,0.04529,0.03203,
5-SYBR,vitellogenin,BA84_25dpe_222,,0.69540,-0.52408,0.29593,0.29593,,0.17086,0.17086,,,,1.25428,0.32686,0.68053,0.68053,,0.39290,0.39290,,1.25428,0.32686,0.68053,0.68053,,0.39290,0.39290,,,,3,14.25,0.63142,0.36455,
5-SYBR,vitellogenin,BA84_25dpe_223,,0.85491,-0.22615,0.10120,0.10120,,0.05843,0.05843,,,,1.47757,0.56323,0.39538,0.39538,,0.22827,0.22827,,1.47757,0.56323,0.39538,0.39538,,0.22827,0.22827,,,,3,13.94,0.17565,0.10141,
5-SYBR,vitellogenin,BA84_25dpe_224,,1.01869,0.02671,0.28569,0.28569,,0.16494,0.16494,,,,1.52819,0.61182,0.45858,0.45858,,0.26476,0.26476,,1.52819,0.61182,0.45858,0.45858,,0.26476,0.26476,,,,3,13.68,0.41611,0.24024,
5-SYBR,vitellogenin,BA84_25dpe_229,,0.80686,-0.30961,0.29903,0.29903,,0.17265,0.17265,,,,1.23929,0.30952,0.59784,0.59784,,0.34516,0.34516,,1.23929,0.30952,0.59784,0.59784,,0.34516,0.34516,,,,3,14.03,0.54990,0.31749,
5-SYBR,vitellogenin,BA84_25dpe_232,,0.59897,-0.73945,0.43818,0.43818,,0.25298,0.25298,,,,0.90681,-0.14112,0.69810,0.69810,,0.40305,0.40305,,0.90681,-0.14112,0.69810,0.69810,,0.40305,0.40305,,,,3,14.47,1.08546,0.62669,
5-SYBR,vitellogenin,BA84_25dpe_233,,0.72202,-0.46988,0.22735,0.22735,,0.13126,0.13126,,,,1.27812,0.35402,0.59686,0.59686,,0.34460,0.34460,,1.27812,0.35402,0.59686,0.59686,,0.34460,0.34460,,,,3,14.19,0.46721,0.26974,
9-SYBR,vitellogenin,BA84_25dpe_2642,,0.51233,-0.96486,0.04755,0.04755,,0.02745,0.02745,,,,0.69809,-0.51851,0.08167,0.08167,,0.04715,0.04715,,0.69809,-0.51851,0.08167,0.08167,,0.04715,0.04715,,,,3,14.70,0.13770,0.07950,
9-SYBR,vitellogenin,BA84_25dpe_2663,,0.55707,-0.84407,0.09592,0.09592,,0.05538,0.05538,,,,0.66102,-0.59724,0.11564,0.11564,,0.06677,0.06677,,0.66102,-0.59724,0.11564,0.11564,,0.06677,0.06677,,,,3,14.58,0.25549,0.14751,
9-SYBR,vitellogenin,BA84_25dpe_2664,,0.29692,-1.75188,0.01048,0.01048,,0.00741,0.00741,,,,0.41544,-1.26730,0.04975,0.04975,,0.03518,0.03518,,0.41544,-1.26730,0.04975,0.04975,,0.03518,0.03518,,,,2,15.51,0.05239,0.03705,
9-SYBR,vitellogenin,BA84_25dpe_2665,,0.48666,-1.03900,0.08182,0.08182,,0.05786,0.05786,,,,0.45735,-1.12864,0.09715,0.09715,,0.06869,0.06869,,0.45735,-1.12864,0.09715,0.09715,,0.06869,0.06869,,,,2,14.78,0.24945,0.17639,
9-SYBR,vitellogenin,BA84_25dpe_2666,,0.30367,-1.71941,0.01352,0.01352,,0.00956,0.00956,,,,0.34719,-1.52621,0.02377,0.02377,,0.01681,0.01681,,0.34719,-1.52621,0.02377,0.02377,,0.01681,0.01681,,,,2,15.48,0.06606,0.04671,
12-SYBR,vitellogenin,BA84_25dpe_2667,,0.78960,-0.34081,0.05765,0.05765,,0.04076,0.04076,,,,0.70377,-0.50682,0.08591,0.08591,,0.06075,0.06075,,0.70377,-0.50682,0.08591,0.08591,,0.06075,0.06075,,,,2,14.06,0.10832,0.07660,
12-SYBR,vitellogenin,BA84_25dpe_2668,,0.79397,-0.33284,0.02434,0.02434,,0.01721,0.01721,,,,0.85404,-0.22763,0.06246,0.06246,,0.04416,0.04416,,0.85404,-0.22763,0.06246,0.06246,,0.04416,0.04416,,,,2,14.05,0.04549,0.03217,
6-SYBR,vitellogenin,BA84_25dpe_87,,0.37005,-1.43419,0.15840,0.15840,,0.09145,0.09145,,,,0.93993,-0.08937,0.51252,0.51252,,0.29590,0.29590,,0.93993,-0.08937,0.51252,0.51252,,0.29590,0.29590,,,,3,15.19,0.63510,0.36668,
6-SYBR,vitellogenin,BA84_25dpe_88,,0.90825,-0.13884,0.76521,0.76521,,0.44179,0.44179,,,,2.16905,1.11706,1.90773,1.90773,,1.10143,1.10143,,2.16905,1.11706,1.90773,1.90773,,1.10143,1.10143,,,,3,13.85,1.25008,0.72173,
6-SYBR,vitellogenin,BA84_25dpe_92,,0.56443,-0.82514,0.44281,0.44281,,0.25566,0.25566,,,,0.99309,-0.01000,0.80199,0.80199,,0.46303,0.46303,,0.99309,-0.01000,0.80199,0.80199,,0.46303,0.46303,,,,3,14.56,1.16406,0.67207,
6-SYBR,vitellogenin,BA84_35dpe_100,,0.21865,-2.19328,0.17280,0.17280,,0.09977,0.09977,,,,0.50691,-0.98020,0.41703,0.41703,,0.24077,0.24077,,0.50691,-0.98020,0.41703,0.41703,,0.24077,0.24077,,,,3,15.97,1.17259,0.67700,
