"File","waveforms","time"
"St19_1-ch1_BA84male.converted.ANA",2,10494.45
"St19_1-ch1_BA84male.converted.ANA",7,10625.33
"St19_1-ch1_BA84male.converted.ANA",11,10688.04
"St19_1-ch1_BA84male.converted.ANA",2,10690.04
"St19_1-ch1_BA84male.converted.ANA",7,10784.67
"St19_1-ch1_BA84male.converted.ANA",11,10819.63
"St19_1-ch1_BA84male.converted.ANA",2,10822.01
"St19_1-ch1_BA84male.converted.ANA",7,11133.01
"St19_1-ch1_BA84male.converted.ANA",11,11173.51
"St19_1-ch1_BA84male.converted.ANA",2,11175.41
"St19_1-ch1_BA84male.converted.ANA",7,11447.22
"St19_1-ch1_BA84male.converted.ANA",2,11489.98
"St19_1-ch1_BA84male.converted.ANA",7,11945.16
"St19_1-ch1_BA84male.converted.ANA",11,11987.03
"St19_1-ch1_BA84male.converted.ANA",7,11989.61
"St19_1-ch1_BA84male.converted.ANA",2,12001.92
"St19_1-ch1_BA84male.converted.ANA",7,12016.81
"St19_1-ch1_BA84male.converted.ANA",11,12025.37
"St19_1-ch1_BA84male.converted.ANA",7,12028.7
"St19_1-ch1_BA84male.converted.ANA",11,12034.63
"St19_1-ch1_BA84male.converted.ANA",7,12036.61
"St19_1-ch1_BA84male.converted.ANA",2,12040.43
"St19_1-ch1_BA84male.converted.ANA",7,12079.31
"St19_1-ch1_BA84male.converted.ANA",11,12090.83
"St19_1-ch1_BA84male.converted.ANA",7,12092.62
"St19_1-ch1_BA84male.converted.ANA",11,12105.26
"St19_1-ch1_BA84male.converted.ANA",7,12110.93
"St19_1-ch1_BA84male.converted.ANA",11,12118.1
"St19_1-ch1_BA84male.converted.ANA",7,12120.02
"St19_1-ch1_BA84male.converted.ANA",11,12127.06
"St19_1-ch1_BA84male.converted.ANA",7,12128.41
"St19_1-ch1_BA84male.converted.ANA",11,12132.18
"St19_1-ch1_BA84male.converted.ANA",7,12133.29
"St19_1-ch1_BA84male.converted.ANA",11,12136.15
"St19_1-ch1_BA84male.converted.ANA",7,12137.94
"St19_1-ch1_BA84male.converted.ANA",2,12139.95
"St19_1-ch1_BA84male.converted.ANA",7,12153.99
"St19_1-ch1_BA84male.converted.ANA",11,12157.06
"St19_1-ch1_BA84male.converted.ANA",7,12161.24
"St19_1-ch1_BA84male.converted.ANA",2,12188.43
"St19_1-ch1_BA84male.converted.ANA",7,12245.59
"St19_1-ch1_BA84male.converted.ANA",2,12273.09
"St19_1-ch1_BA84male.converted.ANA",7,12320.59
"St19_1-ch1_BA84male.converted.ANA",2,12337.25
"St19_1-ch1_BA84male.converted.ANA",1,12376.79
"St19_1-ch1_BA84male.converted.ANA",2,12603.01
"St19_1-ch1_BA84male.converted.ANA",1,15453.78
"St19_1-ch1_BA84male.converted.ANA",2,15528.5
"St19_1-ch1_BA84male.converted.ANA",1,15749.23
"St19_1-ch1_BA84male.converted.ANA",2,15801.19
"St19_1-ch1_BA84male.converted.ANA",7,15862.62
"St19_1-ch1_BA84male.converted.ANA",11,16076.5
"St19_1-ch1_BA84male.converted.ANA",7,16088.85
"St19_1-ch1_BA84male.converted.ANA",2,16164.62
"St19_1-ch1_BA84male.converted.ANA",7,16196.8
"St19_1-ch1_BA84male.converted.ANA",2,16277.71
